,show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
1721,s1715,Movie,Mathu Vadalara,Ritesh Rana,"Sri Simha Koduri, Athulya Chandra, Vennela Kishore, Satya Akkala, Naresh Agastya",India,2019,16+,129 min,Drama,"Babu is a delivery boy living with his friends Yesu and Abhi. Due to his meagre salary, he decides to quit, but then Yesu gives him an idea. The idea, however, soon spirals out of control and Babu finds himself deep in trouble. Will he survive the consequences of his own actions?"
1757,s1749,TV Show,Man's World,,"Gaurav Pandey, Gurpreet Saini, Shikha Talsania, Nivedita Shukla, Ramakant Dayma, Ranjini Chakraborty, Silky Khanna, Parineeti Chopra, Kalki Koechlin, Richa Chadda, Soni Razdan, Pritish Nandy, Rhea Chakraborty, Bhumi Pednekar, Miss Malini, Cyrus Sahukar, Shweta Tripathi, Priyanka Bose, Nidhi Singh, Naveen Kasturia, Meiyang Chang, Aditi Singh Sharma, Anupama Chopra, Aditi Mittal",India,2015,16+,1 Season,Comedy,"What if women treated men, the way men treat women? It is a story about walking a mile in their shoes, in that world. Kiran, the protagonist, believes the world is really unfair to men. Fed up, he prays for the world to flip and for men and women to interchange places. As they say, be careful what you wish for."
1781,s1775,TV Show,Made In Heaven,,"Shivani Raghuvanshi, Kalki Koechlin, Shashank Arora, Sobhita Dhulipala, Jim Sarbh, Arjun Mathur",India,2019,16+,1 Season,"Drama, International","Made In Heaven chronicles the lives of Tara and Karan, two wedding planners in Delhi. India is a potent blend of old and new. Tradition jostles with modern aspirations against the backdrop of big fat Indian weddings revealing many secrets and many lies. The supposedly liberal fabric of the upper crust unravels as the duo navigate through arranged marriages, dowry transactions and virginity tests."
1790,s1784,Movie,Luv Ka The End,Bumpy,"Taaha Shah, Shraddha Kapoor, Riya Bamniyal, Sreejita De, Micky Makhija, Rahul Pardasany, Ali Zafar, Archana Puran Singh, Pushtiie S., Meherzan B. Mazda, Jannat Zubair Rahmani, Errol Peter Marks, Neha Gehlot, Lavanya Jain, Shenaz Treasuryvala, Arjun Sablok, Mahabanoo Mody Kotwal",India,2011,18+,107 min,"Comedy, Drama, International","This is a young anti rom com kind of movie focussing on, Rhea Dialdas and Luv Nanda. On the eve of her 18th birthday, they plan to take their relationship to the 'next level', but she accidentally finds out that Luv is not really the nice guy she thought he was. Humiliated and hurt, she decides to teach him a few kick-ass lessons he will never forget and sets out to do so with her friends."
1804,s1797,Movie,"Love, Kennedy",T.C. Christensen,"Jasen Wade, Heather Beers, Tatum Chiniquy",United States,2017,PG,92 min,Faith and Spirituality,"Kennedy Hansen is a 15 year old girl with three goals, drive a car, date boys and be a cheerleader. Even though she contracts a terrible disease, Kennedy is able to triump over her obstacles and make her dreams come true."
1807,s1800,Movie,Love Simple,Mark von Sternberg,"Francisco Solorzano, Patrizia Hernandez, Israel Horovitz, Caitlin Fitzgerald, John Harlacher",United States,2011,16+,86 min,Drama,Adam and Seta fall madly in love after meeting in a Brooklyn laundromat. She suffers from Lupus. He's stuck at home caring for his chronically ill father. Both lie through their teeth to avoid having to reveal they are anything but perfect.
1817,s1811,TV Show,Lost In Oz,,"Ashley Boettcher, Alexander Polinsky, Grey Griffin, Keith Ferguson, Kath Soucie, Stephen Stanton, Jorge Diaz, Chris Cox, Nika Futterman","United Kingdom, Canada, United States",2018,G,2 Seasons,Kids,"13 new episodes of the multi-Emmy Award-Winning series LOST IN OZ take Dorothy, Toto, and their friends to new, magical, and perilous lands, as well as some surprisingly familiar worlds. They'll make new friends, face new enemies, and reunite with loved ones from Emerald City and beyond!"
1852,s1845,TV Show,Little Big Awesome,,"Fred Tatasciore, Jessica McKenna, Weird Al Yankovic, Aimee Mann, Kate Micucci, Dana Snyder, Ennis Esmer, Lennon Parham, Roger L. Jackson, Betsy Sodaro, Lonny Ross, Jon Luke Thomas, Kat Palardy",United States,2018,G,2 Seasons,Kids,"Little Big Awesome follows Gluko and Lennon, the two best friends ever of all time in the history of everything.  While having weird and wonderful adventures around Townopolis, these besties help the citizens live their best lives, even if helping sometimes causes more problems than it solves."
1902,s1898,Movie,LAW,Raghu Samarth,"Ragini Prajwal, Mukhyamantri Chandru, Sudharani, Achyuth Kumar, Avinash, Rajesh Nataranga, Krishna Hebbale, Mandya Ramesh, Nagaraj Murthy, Siri Prahlad, Madhu Hegde, Likhitesh, Imran Pasha",India,2020,16+,120 min,Suspense,"There are umpteen stories that involve crime and investigations. Sometimes, the case even gets dismissed due to lack of evidence and the accused are set free. However ‘Law’ is a paradigm shift from the rest in this genre. Nandhini, a law student who is caught in a precarious situation fights for justice for a gruesome crime that took place."
1918,s1931,Movie,Knights of Badassdom,Joe Lynch,"Ryan Kwanten, Peter Dinklage, Steve Zahn",United States,2014,R,86 min,"Action, Comedy, Fantasy",Live-action role players conjure up a demon from Hell by mistake and they must deal with the consequences.
1924,s1919,TV Show,Kung Fu Panda: The Paws of Destiny,,"Gunnar Sizemore, Haley Tju, Chrissy Metz, Makana Say, James Hong, Mick Wingert, Laya DeLeonHayes",United States,2019,7+,2 Seasons,Kids,"Now famously known as the Four Constellations the panda kids are summoned by the Emperor to the Forbidden City, making Po fear the kids might not need his teachings anymore. But when friends turn to foes, all our heroes will need to draw from their Chi and all their Kung Fu knowledge to defeat evil in an explosive and epic battle."
1927,s1922,Movie,KROOS (4K UHD),Manfred Oldenburg,"Toni Kroos, Jessica Kroos, Felix Kroos, Gareth Bale, Casemiro, Luka Modrić, Florentino Pérez, Sergio Ramos, José Ángel Sánchez, Pep Guardiola, Jupp Heynckes, Uli Hoeneß, Miroslav Klose, Joachim Löw, Matthias Sammer, Zinédine Zidane, Sascha Breese, Dirk Hebel, Volker Struth, Marcel Reif, Robbie Williams",Germany,2019,G,114 min,"Documentary, Special Interest","KROOS is a look behind the scenes of the closed-off world of international football, featuring footage and interviews with icons like Zinédine Zidane, Pep Guardiola, Luka Modrić, Sergio Ramos and the singer Robbie Williams."
1928,s1923,Movie,KROOS,Manfred Oldenburg,"Toni Kroos, Jessica Kroos, Felix Kroos, Gareth Bale, Casemiro, Luka Modrić, Florentino Pérez, Sergio Ramos, José Ángel Sánchez, Pep Guardiola, Jupp Heynckes, Uli Hoeneß, Miroslav Klose, Joachim Löw, Matthias Sammer, Zinédine Zidane, Sascha Breese, Dirk Hebel, Volker Struth, Marcel Reif, Robbie Williams",Germany,2019,13+,114 min,"Documentary, Special Interest","There are only a few iconic football stars being constantly admired across the globe for their art of handling a ball and controlling a game, winning basically all the relevant titles. There are a hand full of players in each generation and Toni Kroos is one of them."
1960,s1956,Movie,Kesari,Anurag Singh,"Akshay Kumar, Parineeti Chopra, Suvinder Vicky",India,2019,16+,153 min,"Action, Drama, Historical","Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10,000 Afghans in 1897."
1970,s1966,Movie,Kapatadhaari (4K UHD),Pradeep Krishnamoorthy,"Sumanth, Nanditha Swetha, Nasser, JP",India,2021,13+,137 min,Suspense,A passionate traffic police who is bored of his routine job stumbles across some skeletons which ignite his soulless life. When he probes into the case he comes across a cop who had investigated the case in the past.
1971,s1967,Movie,Kapatadhaari,Pradeep Krishnamoorthy,"Sumanth, Nanditha Swetha, Nasser, JP",India,2021,NR,137 min,Suspense,A passionate traffic police who is bored of his routine job stumbles across some skeletons which ignite his soulless life. When he probes into the case he comes across a cop who had investigated the case in the past.
1975,s1971,Movie,Kalank,Abhishek Varman,"Varun Dhawan, Alia Bhatt, Madhuri Dixit, Aditya Roy Kapoor, Sonakshi Sinha, Sanjay Dutt",India,2019,13+,166 min,"Drama, International, Romance","Set in 1945, in Pre-Independent India, ‘Kalank’ is the story of a vivid and ethereal world, lost when the fire of Partition engulfs the city and the country. It’s the story of the shades of Reds in their lives as they yearn for hues of love while Husnabad gets soaked in the reds of violence and revenge."
1978,s1974,Movie,Kadaikutty Singam,Pandiraj,"Karthi, Sayyeshaa, Sathyaraj, Priya Bhavani Shankar, Arthana Vijayakumar, Soori",India,2018,G,148 min,"Action, Adventure, Drama","Gunasingam, a family-loving farmer who hails from a small town, tries his best to keep his big family united."
1981,s1977,Movie,Kabadadaari (4K UHD),Pradeep Krishnamoorthy,"Sibi Sathyaraj, Nanditha Swetha, Nasser, JP",India,2021,16+,137 min,Suspense,A passionate traffic police who is bored of his routine job stumbles across some skeletons which ignite his soulless life. When he probes into the case he comes across a cop who had investigated the case in the past.
1982,s1978,Movie,Kabadadaari,Pradeep Krishnamoorthy,"Sibi Sathyaraj, Nanditha Swetha, Nasser, JP",India,2021,16+,137 min,Suspense,A passionate traffic police who is bored of his routine job stumbles across some skeletons which ignite his soulless life. When he probes into the case he comes across a cop who had investigated the case in the past.
2009,s2005,Movie,Joni,James F. Collier,"Joni Eareckson Tada, Bert Remsen, Katherine DeHetre, Cooper Huckabee, John Milford, Michael Mancini",United States,1979,PG,112 min,Drama,"She was young...vital...just 17, when a diving accident snapped her neck and left her paralyzed. The months that followed were filled with great physical, emotional, and spiritual struggles for Joni Eareckson Tada. In this true-life story, Joni relives her joys and sorrows, her fears and victories. Trying to cope, she learns to paint using her mouth and finds strength in her new faith."
2030,s2026,TV Show,Jim Gaffigan: The Pale Tourist,,Jim Gaffigan,United States,2020,13+,1 Season,"Arts, Entertainment, and Culture, Comedy","Jim Gaffigan boldly goes where no stand-up comedian has gone before: everywhere! During the Pale Tourist global tour, Jim traveled the world meeting locals and learning about their culture. He then transformed those experiences into stand-up sets of all-new material specific to each country he visited. Watch as Jim brings his relatable brand of comedy to Spain and Canada in these two new specials."
2037,s2033,TV Show,Jestination Unknown,,"Vir Das, Amit Tandon, Amogh Ranadive, Anu Menon, Ashwin Mushran, Manan Desai, Raj Sharma, Rohini Ramanathan, Shruti Seth, Suresh Menon",India,2019,16+,1 Season,"Arts, Entertainment, and Culture, Comedy, Unscripted","Vir Das travels across India with his friends to answer the question: ""What does India find funny?"" In Patiala, they explore comedy and clichés. In Lucknow, the hasya kavis give a masterclass. In Jodhpur, the city welcomes new jesters. In Mysore, a Mysore joke is written. In Kumarakom, comedy after tragedy is explored. In Leh, even the people in the harshest region of the country laugh."
2052,s2048,TV Show,Jean Claude Van Johnson,,"Moises Arias, Jean-Claude Van Damme, Kat Foster, Phylicia Rashad",United States,2017,16+,1 Season,"Action, Comedy","What if I told you that Jean-Claude Van Damme - yes, THAT Jean-Claude Van Damme - was, in fact, a secret agent? That his entire film career was built solely as a front for his black ops? Would you believe me? No? Well then that’s egg on your face because that’s what this show is about."
2064,s2060,TV Show,James May: Our Man in Japan,,James May,United Kingdom,2020,13+,1 Season,Documentary,"James May embarks on a remarkable journey across Japan, from its icy north to its balmy south. He’ll see the sights, meet the locals, and eat the noodles in a bid to truly understand the Land of the Rising Sun."
2065,s2061,TV Show,James May: Oh Cook,,"James May, Nikki Morgan",United Kingdom,2020,13+,1 Season,Unscripted,"James May is not a chef. But that’s the whole point: you don’t need to be a brilliant cook to make delicious food. Transporting us to the Far East, the Med, and the local pub – all from the comfort of a home economist’s kitchen – he’ll knock up delicious recipes that you can actually make yourself, with ingredients you can actually buy. And all without the usual television cooking format trickery."
2084,s2080,Movie,Ishqeria,Prerna Wadhawan,"Neil Nitin Mukesh, Richa Chadha, Manish Anand, Gurbani, Juby Devasia",India,2018,13+,118 min,"Comedy, Drama, International","Ishqeria is a story of a small town girl who falls madly in love with the most sought after guy in college. It is a journey of first love, growing up and second chances."
2085,s2081,Movie,Ishq,Anuraj Manohar,"Shane Nigam, Ann Sheethal, Shine Tom Chacko, Lenoa Lishoy",India,2019,13+,133 min,"Drama, International, Suspense","ISHQ is the story of Sachi and Vasudha,two young lovers who went for a romantic interlude one night. During the journey, how fate plays spoilsport and how a normal journey can turn into terror and what impact that incident stamps on their life forms the crux of the story. The movie deals with the issue of moral policing which is rampant in present day India."
2086,s2082,Movie,Ishaqzaade,Habib Faisal,"Arjun Kapoor, Parineeti Chopra",India,2012,PG,132 min,International,"Rising from the ashes of hooliganism & small town clan wars, comes the love story of a passion ignited by hatred. Of two people. Born to hate. Destined to love. A story about two fiery bloods played by Arjun Kapoor & Parineeti Chopra, and their fight for power & supremacy. A story about love brewing in the often unrealistic and daunting political confines of rural India. A story called ISHAQZAADE."
2100,s2096,Movie,Instant Death,Ara Paiaya,Lou Ferrigno,United Kingdom,2017,18+,84 min,Action,"A gang war for drug dominance draws in a disturbed Special Forces veteran John Bradley. The underworld's retribution on his last connection to humanity, a daughter and grandchild leads to a descent of fury and violence."
2107,s2103,TV Show,Inside Edge,,"Richa Chadha, Vivek Anand Oberoi, Angad Bedi, Aamir Bashir, Tanuj Virwani, Sapna Pabbi, Amit Sial, Siddhant Chaturvedi, Sayani Gupta, Manu Rishi Chadha, Elli Avram, Jitin Gulati",India,2019,18+,2 Seasons,"Drama, International, Sports","In the next edition of the PPL, a volatile Vayu Raghavan leads the Mumbai Mavericks to face their biggest adversary yet, the Arvind Vashisht-led Haryana Hurricanes. But they must also counter colossal scandals that’ll rock the world of cricket. In the sport’s upper echelons, Zarina Malik allies with Bhaisaab, but those in the shadows threaten to destroy the very game they seek to control."
2117,s2113,Movie,Inconceivable,Jonathan Baker,"Nicolas Cage, Gina Gershon, Faye Dunaway, Nicky Whelan, Natalie Eva Marie","United Kingdom, United States",2017,R,106 min,Suspense,"Starring Nicolas Cage, Gina Gershon, Nicky Whelan, and Faye Dunaway, this dark thriller depicts a wealthy couple that shelters a young runaway mother, dangerously unaware of the woman's dark past."
2154,s2150,TV Show,I Love Dick,,"Kevin Bacon, Kathryn Hahn, Griffin Dunne, Roberta Colindrez",United States,2017,18+,1 Season,"Comedy, Drama, Romance","Adapted from the lauded feminist novel, I LOVE DICK is set in a colorful academic community in Marfa, Texas. It tells the story of a struggling married couple, Chris and Sylvere, and their obsession with a charismatic professor named Dick. Told in Rashomon-style shifts of POV, I LOVE DICK charts the unraveling of a marriage, the awakening of an artist and the deification of a reluctant messiah."
2169,s2164,TV Show,Hunters,,"Al Pacino, Logan Lerman, Jerrika Hinton, Lena Olin, Saul Rubinek, Carol Kane, Josh Radnor, Greg Austin, Tiffany Boone, Louis Ozawa, Kate Mulvany, Dylan Baker",United States,2020,18+,1 Season,"Adventure, Drama","Inspired by true events, HUNTERS follows a diverse band of Nazi Hunters in 1977 New York City who discover that hundreds of escaped Nazis are living in America. And so, they do what any bad-ass vigilante squad would do: they set out on a bloody quest for revenge and justice. But they soon discover a far-reaching conspiracy and must race against time to thwart the Nazis’ new genocidal plans."
2187,s2181,Movie,Hotel Coolgardie,Pete Gleeson,,Australia,2017,13+,84 min,Documentary,"In remotest red-dust Australia is the sleepy mining town of Coolgardie. When two Finnish girls take jobs in the town's pub, they find themselves in a trial of endurance, and soon realise that pouring pints is the least of their work. Amusing, disturbing, and thoroughly bizarre, this candid documentary reveals the struggles of adapting to life in an insular community."
2191,s2185,Movie,Hostile Border,"Michael Dwyer, Kaitlin McLaughlin","Veronica Sixtos, Roberto Urbina, Julio Cedillo, Jorge A. Jimenez, Jesse Garcia, Maria Del Carmen Farias",United States,2016,R,84 min,"Action, Drama, Western","When she's deported to México, Claudia must choose between reconciling with her estranged father or partnering with a dangerous smuggler to return to the U.S."
2199,s2193,Movie,Honest Thief,Mark Williams,"Liam Neeson, Kate Walsh, Robert Patrick, Anthony Ramos, Jeffrey Donovan, Jai Courtney",United States,2020,PG-13,99 min,"Action, Suspense","Wanting to lead an honest life, a notorious bank robber (Liam Neeson) turns himself in, only to be double-crossed by two ruthless FBI agents."
2202,s2196,TV Show,Homecoming,,"Janelle Monáe, Hong Chau, Chris Cooper, Stephan James",United States,2020,16+,2 Seasons,"Drama, Suspense","START WITH SEASON TWO and experience a new mystery when Jackie (Janelle Monáe) finds herself floating in a boat in the middle of a lake, with no memory of how she got there – or even who she is. Her search for identity will lead her into the heart of the Geist Group, an unconventional wellness company behind the controversial Homecoming Initiative."
2227,s2222,Movie,Hero,P.S. Mithran,"Sivakarthikeyan, Arjun Sarja, Abhay Deol, Kalyani Priyadarshan, Ivana",India,2019,16+,159 min,"Action, Drama, International","Set in Chennai sub-urbs, the story of ‘HERO’ missions a racy journey of Sakthi (Sivakarthikeyan) who takes it upon himself to safeguard the current education system, one that could potentially be the most rewarding to all stakeholders in society, from the ensuing conflicts that erupts between him and Mahadev (Abhay Deol), the gatekeeper of corporate lobbying."
2234,s2229,Movie,Hello Guru Prema Kosame,Trinadha Rao Nakkina,"Ram Pothineni, Anupama Parmeshwaran",India,2018,13+,136 min,"International, Romance","After a rocky start, a friendship develops between a happy-go-lucky youth and a girl from the city."
2255,s2249,Movie,Harold and Maude,Hal Ashby,"Ruth Gordon, Bud Cort, Tom Skerritt",United States,1971,PG,92 min,"Comedy, Drama","Harold is young, rich and obsessed with death. Maude is a lovable a fun-loving 80-year-old eccentric. When the two meet at a funeral and develop a deep bond, they must reconcile their disparate beliefs about the meaning life."
2275,s2267,TV Show,Hand Of God,,"Ron Perlman, Dana Delany, Andre Royo, Garret Dillahunt, Alona Tal, Emayatzy Corinealdi, Julian Morris, Elizabeth McClaughlin",United States,2017,18+,2 Seasons,"Drama, Suspense","The hard-living, law-bending king of San Vicente, Pernell Harris, has finally hit bottom as he faces trial for the murder of a cop. Pernell’s visions and his dead son will slowly lead him through a conspiracy that is bigger than he could have imagined, but will threaten his relationship with his wife and everything he holds dear, forcing him to fight for both his sanity and his freedom."
2282,s2274,Movie,Gumnaami - Hindi,Srijit Mukherji,"Prosenjit Chatterjee, Anirban Bhattacharya, Tanusree Chakraborty",India,2020,13+,139 min,"Drama, Suspense","How did Netaji disappear? This Bengali film raises the question, based on the Mukhejee Commission Hearings."
2284,s2276,Movie,Gulabo Sitabo (4K UHD),Shoojit Sircar,"Amitabh Bachchan, Ayushmann Khurrana, Farrukh Jafar, Vijay Raaz, Brijendra Kala, Srishti Shrivastava",India,2020,16+,125 min,International,"Set in present day Lucknow (India), Gulabo Sitabo is a social satire about two impossibly peculiar human beings - Mirza Chunnan Nawab, who stays in a dilapidated mansion and one of the tenants, Baankey Rastogi. The mansion may have seen many dramas unfold over a century of its existence, but still has a final act left as the drama of battle of ownership unfolds, with a priceless lesson to teach."
2292,s2286,Movie,Grinders,Matt Gallagher,,"Canada, United States",2011,13+,74 min,Documentary,"Matt Gallagher finds himself in Toronto's illegal poker clubs every night. They are a world of wild characters, fuelled by addiction and one-upmanship. Matt, out-of-work and with a new baby and wife to support, must put everything he has on the line to bring home the daily bread. But as the stakes rise ever higher, Matt soon discovers that the real meaning of risk lies far beyond the poker room."
2295,s2289,Movie,Griefwalker,Tim Wilson,,Canada,2008,16+,70 min,Documentary,"An extraordinary portrait of Harvard-trained theologian Stephen Jenkinson, who teaches that death empowers us to live and that we must know grief well in order to appreciate our own lives. Many may find Jenkinson's belief that our deaths are not something to be denied or avoided but 'befriended' as challenging; he points out that not every culture fears death as we do."
2298,s2292,Movie,Green is Gold,Ryon Baxter,"Jimmy Baxter, Ryon Baxter, David Fine, Shelley Mitchell, Ian Mcdavid, Liz Clare",United States,2016,R,82 min,"Arts, Entertainment, and Culture, Drama, Young Adult Audience","A thirteen year old boy is forced to live with his estranged brother after their father is sent to prison. Their relationship is soon tested when the older brother's occupation as a marijuana dealer infringes on his ability not only to raise his brother, but to even take care of himself. Through their tribulations, they discover that by working together they can beat the odds."
2306,s2300,TV Show,Grand Prix Driver,,Michael Douglas,United States,2018,7+,1 Season,"Documentary, Sports","This series offers unprecedented access to FORMULA ONE racing, a highly secretive and competitive world. It follows McLaren, one of the sport’s most successful teams, during the 2017 pre-season as they gear up for their first race in Melbourne. After three tough years without a win, McLaren is hopeful that they will be back on top with their promotion of rookie driver, Stoffel Vandoorne."
2310,s2304,Movie,Goyenda Junior,Mainak Bhaumik,"Rwitobroto Mukherjee, Shantilal Mukherjee, Anusha Viswanathan",India,2019,G,118 min,"International, Suspense","Bikram (Rwitobroto Mukherjee), a teenage boy, spends his days mooning over his crush Tuki (Anusha Viswanathan), and reading lots of crime fiction. An odd twist of events leads Bikram on a quest to solve the perfect crime - a murder cleverly disguised as a natural death !"
2312,s2306,TV Show,Gortimer Gibbon's Life on Normal Street,,"Sloane Morgan Siegel, Ashley Boettcher, Drew Justice, Robyn Lively",United States,2016,7+,3 Seasons,Kids,"As the series comes to a close, Gortimer, Mel and Ranger grow closer than ever, even as growing up threatens to pull them apart. Their adventures on Normal Street continue as Mel learns the consequences of overextending herself, Ranger takes on other people's problems while ignoring his own, and Gortimer grapples with the greatest challenge of all: leaving Normal Street"
2317,s2311,Movie,Goodachari,Sashi Kiran Tikka,"Adivi Sesh, Sobhita Dhulipala, Madhu Shalini",India,2018,18+,142 min,"International, Suspense","After being trained in an ultra competitive secret service program, Arjun, A young agent is framed for the murder of his bosses, suddenly turning him into India's most wanted criminal. Who framed him? And why? For someone who was taught that the 'mission' is everything, Arjun now realizes that now his mission is darker than expected."
2318,s2312,TV Show,Good Omens,,"Michael Sheen, David Tennant, Jon Hamm","United Kingdom, United States",2019,16+,1 Season,"Comedy, Drama, Fantasy","The End of the World is coming, which means a fussy Angel and a loose-living Demon who’ve become overly fond of life on Earth are forced to form an unlikely alliance to stop Armageddon. But they have lost the Antichrist, an 11-year-old boy unaware he’s meant to bring upon the end of days, forcing them to embark on an adventure to find him and save the world before it’s too late."
2320,s2314,TV Show,Good Girls Revolt,,"Genevieve Angelson, Anna Camp, Erin Darke, Chris Diamantopoulos, Joy Bryant, Hunter Parrish",United States,2016,18+,1 Season,Drama,"In 1969, while a cultural revolution swept through the free world, there was still one place that refused to change with the times: newsrooms. Good Girls Revolt follows a group of young female researchers at ""News of the Week,"" who ask to be treated fairly. Their revolutionary request sparks convulsive changes and upends marriages, careers, sex lives, love lives, and friendships."
2344,s2337,Movie,Gleason,Clay Tweel,"Steve Gleason, Michel Varisco, Rivers Gleason, Scott Fujita, Drew Brees, Mike Mccready, Blair Casey, Eddie Vedder",United States,2016,R,111 min,"Documentary, Sports","At the age of 34, Steve Gleason, former NFL defensive back and New Orleans hero, was diagnosed with ALS. Doctors gave him two to five years to live. So that is what Steve chose to do: live. This film incorporates personal video journals from Gleason for his then-unborn son to footage of his adventures undertaken as part of his mission to live his life to the fullest."
2346,s2339,Movie,Girlz,Vishal Devrukhkar,"Ankita Lande, Ketaki Narayan, Anvita Phaltankar, Parth Bhalerao, Devika Daftardar",India,2019,13+,135 min,"Comedy, Drama","An 18 year teenager Mati, wants to live a bold life like many other girls. Her mother realizes this & imposes restrictions on her. She feels dejected and thinks her life has become boring and worthless. She embarks on a solo trip to Goa & makes friends with two more young girls of her age, who comes from different family backgrounds."
2357,s2350,Movie,Gimme Danger,Jim Jarmusch,"Iggy Pop, Ron Asheton, ScottAsheton, James Williamson, Steve Mackay, Mike Watt, Kathy Asheton, Danny Fields",United States,2016,R,109 min,"Documentary, Music Videos and Concerts, Special Interest","Jim Jarmusch’s new film GIMME DANGER chronicles the story of The Stooges, one of the greatest rock-n-roll bands of all time."
2368,s2360,Movie,Ghawre Bairey Aaj,Aparna Sen,"Anirban Bhattacharya, Jisshu U Sengupta, Tuhina Das",India,2019,16+,134 min,Drama,"A modern retelling of Rabindranath Tagore's classic novel, the film chronicles a triangular love story which is as much a story of passionate romance as it is of clashing ideologies."
2373,s2365,Movie,Get Duked!,Ninian Doff,"Eddie Izzard, Kate Dickie, James Cosmo, Samuel Bottomley, Viraj Juneja, Rian Gordon, Lewis Gribben",United Kingdom,2020,16+,87 min,"Adventure, Comedy","Get Duked is an anarchic, hip-hop inspired comedy that follows four city boys on a wilderness trek as they try to escape a mysterious huntsman."
2378,s2370,Movie,Generation Wealth,Lauren Greenfield,,United States,2018,18+,106 min,"Arthouse, Documentary","Lauren Greenfield’s postcard from the edge of the American Empire captures a portrait of a materialistic, image-obsessed culture. Simultaneously personal journey and historical essay, the film bears witness to the global boom–bust economy, the corrupted American Dream, and the human costs of late stage capitalism, narcissism, and greed."
2380,s2372,Movie,Generation Aami,Mainak Bhaumik,"Sauraseni Maitra, Rwitobroto Mukherjee, Shantilal Mukherjee, Aparajita Auddy",India,2018,13+,119 min,"Arts, Entertainment, and Culture, Drama, International","This is a coming-of-age story of friendship, parenting, growing up and finding yourself. A 17-year-old boy's relationship with his parents is tested as he discovers teenage rebellion and fun in the company of a cool but troubled 19-year-old girl who shakes things up giving him the courage to be true to himself."
2390,s2382,Movie,Gascoigne,Jane Preston,"Paul Gascoigne, Vinnie Jones, Gary Lineker, José Mourinho",United Kingdom,2015,16+,87 min,Documentary,"Celebrating the life and achievements of naturally gifted Paul Gascoigne, a legendary young English soccer player who won the hearts of the English nation. From his humble beginnings through to his international stardom within the football world .The documentary features interviews with soccer legends Vinnie Jones, Gary Lineker, José Mourinho and Wayne Rooney."
2400,s2392,Movie,Gangsta,"Adil El Arbi, Bilall Fallah","Dimitri 'Vegas' Thivaios, Paloma Aguilera Valdebenito, Eduardo Almeida, Ali B., Gene Bervoets, François Beukelaers, Saïd Boumazoughe, Aza Declercq",Belgium,2018,18+,125 min,"Action, Suspense","The lives of four dealer friends spin out of control when they steal a shipment of cocaine. They trigger a full out war between them, an Amsterdam drug lord and the Colombian cartels."
2433,s2425,Movie,French Biriyani,Pannaga Bharana,"Danish Sait, Disha Madan, Rangayana Raghu, Nagabhushana, Sindhu Murty, Mahantesh Hiremath, Sampath Kumar, Mohammed Ashraf, Kirthana Kumar, Michael Madhu, Pitobash, Nagesh Jaikumar, Prashanth, RJ Vikish, Chikkanna",India,2020,16+,117 min,"Action, Comedy","Simon, representative of a drug company from France and Asgar, local auto driver from Shivajinagar, share a two-day long journey in Bengaluru. That twisted journey with comedy of errors changes the way they look at life."
2435,s2427,TV Show,Free Meek,,Meek Mill,United States,2019,18+,1 Season,"Documentary, Drama, Special Interest","This intimate documentary series chronicles Meek Mill’s transformation from chart-topping rapper to galvanizing face of criminal justice reform. As Meek, his family and his legal team fight for his freedom, cameras capture the birth of the #FREEMEEK movement and re-investigate a case filled with allegations of dirty cops, planted evidence and systemic corruption within a broken judicial system."
2443,s2435,TV Show,Four More Shots Please!,,"Sayani Gupta, Kirti Kulhari, Maanvi Gagroo, Bani J, Pratiek Babbar, Neil Bhoopalam, Lisa Ray, Milind Soman, Samir Kochhar",India,2020,16+,2 Seasons,"Comedy, Drama, International","Four best friends will cuddle up again and tell the world to sit up and pay a little more attention to what women truly want. Girls will always be girls around their girls – the problems remain simple yet complicated and funny to each other. They will make new mistakes, but love each other little more fiercely and choose themselves over society's expectations."
2452,s2444,TV Show,Forever,,"Maya Rudolph, Fred Armisen",United States,2018,16+,1 Season,"Comedy, Romance","Married couple June and Oscar live a comfortable but predictable life in suburban California.  For years they've had the same conversations, eaten the same meals and taken pleasant vacations at the same rented lake house.  But after June talks Oscar into shaking things up with a ski trip, the pair suddenly find themselves in completely unfamiliar territory."
2472,s2463,TV Show,Fleabag,,"Phoebe Waller-Bridge, Sian Clifford, Olivia Colman, Bill Paterson, Brett Gelman, Hugh Skinner, Hugh Dennis, Ben Aldridge, Jamie Demetriou, Jenny Rainsford",United Kingdom,2019,18+,2 Seasons,Comedy,"Joyful, bleak, poignant and sucker-punch funny, the original cast is joined by a car-crash of new characters as we delve further into the world of Fleabag."
2520,s2511,Movie,Falcon Rising,Ernie Barbarash,"Michael Jai White, Neal McDonough, Laila Ali, Jimmy Navarro, Millie Ruperto, Masashi Odate, Hazuki Kato, Lateef Crowder",United States,2014,R,101 min,Action,"The first installment in an action franchise, entitled CODENAME: FALCON, will center around former Marine John ""Falcon"" Chapman, a dark anti-hero driven by guilt and suffering from post-traumatic stress disorder, who will destroy himself unless given something else to destroy - a useful weapon-of-last-resort for the U.S. State Department."
