,show_id,type,title,director,cast,country,release_year,rating,duration,listed_in,description
8090,s8089,Movie,Scenes of a Sexual Nature,Ed Blum,"Tom Hardy, Ewan McGregor, Mark Strong, Andrew Lincoln, Hugh Bonneville, Gina McKee, Catherine Tate, Douglas Hodge, Polly Walker",United Kingdom,2006,16+,92 min,"Comedy, Drama, Romance","This British comedy stars an incredible home-grown cast including Tom Hardy (Mad Max: Fury Road), Ewan McGregor, (Trainspotting), Catherine Tate (Doctor Who), Mark Strong (1917), Hugh Bonneville (Notting Hill), Andrew Lincoln (Love Actually) and Adrian Lester (The Day After Tomorrow). On the lush green lawns of London's Hampstead Heath, a variety of couples sort through their romantic dilemmas."
8093,s8092,Movie,Santa Who?,William Dear,"Leslie Nielsen, Robyn Lively, Steven Eckholdt, Tommy Davidson, Max Morrow",United States,2000,G,92 min,Comedy,"In this heart-warming Christmas tale, the real Santa Claus (Leslie Nielsen) tumbles out of his sleigh and develops amnesia. He soon comes across a jaded TV reporter who is his only hope for getting his memory back in time to save the holiday."
8106,s8105,Movie,Patriot Games,Phillip Noyce,"Harrison Ford, Anne Archer, Patrick Bergin, Sean Bean, James Earl Jones, Thora Birch, James Fox, Samuel L. Jackson, Polly Walker, J.E. Freeman[",United States,1992,R,117 min,"Action, Drama, Suspense",Jack Ryan is caught in the middle of a terrorist attack. Ryan helps to thwart Holmes' assailants and becomes a local hero. But Ryan's act marks him as a target. Now he must return to action to save his family.
8121,s8120,Movie,Lost: MH370,Caro Meldrum-Hanna,,Australia,2014,13+,43 min,Documentary,"What really happened to Flight MH370? This probing investigation reveals shocking new information about the sequence of events in the minutes and hours following the plane's disappearance. Forensically reconstructing the timeline, this incisive doc throws up some uncomfortable questions for the Malaysian authorities. Could this great modern aviation mystery have been averted altogether?"
8144,s8144,Movie,Daredevil,Mark Steven Johnson,"Ben Affleck, Jennifer Garner, Joe Pantoliano, Jon Favreau, Michael Clarke Duncan, Colin Farrell, David Keith","United States, Switzerland",2003,PG-13,104 min,Action,"A lawyer blinded by radioactive waste fights crime as an acrobatic martial arts superhero, using his other senses, which have been enhanced."
8158,s8158,Movie,"Big Mommas: Like Father, Like Son",John Whitesell,"Martin Lawrence, Brandon T. Jackson, Jessica Lucas",United States,2011,PG-13,107 min,Comedy,HD. 'Big Momma' is dragged out of mothballs when FBI man Martin Lawrence must go undercover – in a girls school.
8162,s8162,Movie,Armageddon,Michael Bay,"Bruce Willis, Billy Thornton, Liv Tyler, Ben Affleck, Will Patton, Peter Stormare, Keith David",United States,1998,PG-13,151 min,"Action, Adventure",A large asteroid is heading directly toward Earth.
8208,s8208,Movie,Dirty 30,Andrew Bush,"Mamrie Hart, Grace Helbig, Hannah Hart",United States,2016,PG-13,87 min,Comedy,"On the eve of Kate's (Mamrie Hart) 30th birthday, friends Evie (Grace Helbig) and Charlie (Hannah Hart) offer to throw her a party. But the celebration quickly spirals out of control."
8216,s8216,Movie,Blue Mountain State: The Rise Of Thadland,Lev L. Spiro,"Alan Ritchson, Chris Romano, Darin Brooks, James Cade, Frankie Shaw",United States,2016,R,90 min,Comedy,"When a Blue Mountain State dean threatens to close the Goat House, Alex and the team must lure Thad Castle back from the NFL with the biggest booze-and-sloot fest in BMS history."
8259,s8258,Movie,Stuart Little 2,Rob Minkoff,"Geena Davis, Michael J. Fox, Hugh Laurie, Nathan Lane, Jonathan Lipnicki, Melanie Griffith, James Woods, Steve Zahn, Rachael Harris",United States,2002,PG,78 min,"Comedy, Kids, Science Fiction","The brave and pint-sized hero Stuart Little (Michael J. Fox) returns in Stuart Little 2, delightingaudiences with his big heart and even more action-packed adventure. This time, Stuart must journey through the city with reluctant Snowbell (Nathan Lane) to rescue a new friend, Margalo (Melanie Griffith), from a villainous Falcon (James Woods)."
8269,s8267,Movie,She's Out of My League,Jim Field Smith,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel, Nate Torrance, Krysten Ritter, Geoff Stults, Lindsay Sloane, Kyle Bornheimer",United States,2010,R,105 min,"Comedy, Romance","In this outrageous comedy, Kirk (Jay Baruchel, Knocked Up, Tropic Thunder), an average guy, can't believe his luck when the successful and gorgeous babe Molly (Alice Eve, Sex and the City 2) falls for him. His smart-ass friends, his crazy family, and even his obnoxious ex-girlfriend are just as shocked as he is. Now, see what the critics are calling a ""rowdy blast""* as Kirk goes to great lengths - including some hardcore man-scaping - to make the relationship work and prove that she's not out of his league. *Peter Travers, ROLLING STONE"
8280,s8278,Movie,Parents,Bob Balaban,"Randy Quaid, Mary Beth Hurt, Sandy Dennis, Bryan Madorsky","Canada, United States",1989,R,82 min,"Comedy, Horror, Suspense","Meet the Laemles, Dad's (Randy Quaid) got a great job, Mom (Mary Beth Hurt) has all the modern conveniences a happy homemaker could ask for, and ten-year-old Michael (Brian Madorsky) has neat new friends and two parents that kill him with kindness. They're the all-American family of 1954 with one small exception the parents are cannibals."
8316,s8315,Movie,Frailty,Bill Paxton,"Bill Paxton, Matthew McConaughey, Powers Boothe, Luke Askew, Jeremy Sumpter, Matt O'Leary","United States, Germany, Italy",2002,R,100 min,"Drama, Suspense","A man confesses to an FBI agent his family's story of how his religious fanatic father's visions lead to a series of murders to destroy supposed ""demons."""
8319,s8318,Movie,Experimenter,Michael Almereyda,"Peter Sarsgaard, Winona Ryder, Jim Gaffigan, Edoardo Ballerini, Kellan Lutz, Dennis Haysbert, Danny Abeckaser, Taryn Manning, Anton Yelchin",United States,2016,PG-13,98 min,Drama,"Stanley Milgram (Peter Sarsgaard) conducts an experiment in which people think they're delivering electric shocks to strangers. Ignoring pleas for mercy, most subjects don't stop because they've been told to go on. With Winona Ryder and Jim Gaffigan."
